Venue,Authors,Title,Year,Type,PaperLink,CodeLink,DatasetLink,PresentationLink
ICLR,"Ayan Sengupta, Shantanu Dixit, Md Shad Akhtar, Tanmoy Chakraborty.",A Good Learner can Teach Better: TEACHER-STUDENT COLLABORATIVE KNOWLEDGE DISTILLATION,2024,Journal,https://openreview.net/pdf?id=Ixi4j6LtdX,,,
ACL,"Neemesh Yadav, Sarah Masud, Vikram Goyal, Md Shad Akhtar, Tanmoy Chakraborty",Tox-BART: Leveraging Toxicity Attributes for Explanation Generation of Implicit Hate Speech(Findings),2024,Conference,https://arxiv.org/pdf/2406.03953,,,
Humanit Soc.,"Tanmoy Chakraborty, Soham Das, Ayan Sengupta, Md Shad Akhtar.","Social, Economic and Demographic Factors Drive the Emergence of Hinglish Code-mixing on Social Media, Humanities and Social Sciences Communications ",2024,,,,,
Coling,"Shivani Kumar, Rishabh Gupta, Md Shad Akhtar, Tanmoy Chakraborty.","Adding SPICE to Life: Speaker Profiling in Multiparty Conversations,",2024,Conference,,,,
Coling,"Kartik Kartik, Sanjana Soni, Anoop Kunchukuttan, Tanmoy Chakraborty, Md Shad Akhtar.",Synthetic Data Generation and Joint Learning for Robust Code-Mixed Translation,2024,Conference,,,,
EACL,"Sarah Masud, Mohammad Aflah Khan, Vikram Goyal, Md Shad Akhtar, Tanmoy Chakraborty",Probing Critical Learning Dynamics of LLMs for Hate Speech Detection(Findings),2024,Conference,,,,
EMNLP,"Shivani Kumar, Ramaneswaran S, Md Shad Akhtar, Tanmoy Chakraborty",From Multilingual Complexity to Emotional Clarity: Leveraging Commonsense to Unveil Emotions in Code-Mixed Dialogues,2023,Conference,,,,
EMNLP (Findings)," Ayan Sengupta, Md Shad Akhtar, Tanmoy Chakraborty",Manifold-Preserving Transformers are Effective for Short-Long Range Encoding,2023,Conference,,,,
IEEE TAI,"Shivani Kumar, Shubham Dudeja, Md Shad Akhtar, Tanmoy Chakraborty. ",Emotion Flip Reasoning in Multiparty Conversations,2023,Transaction,,,,
ACL,"Shivam Sharma, Ramaneswaran S, Udit Arora, Md. Shad Akhtar, Tanmoy Chakraborty",MEMEX: Detecting Explanatory Evidence for Memes via Knowledge-Enriched Contextualization,2023,Conference,,,,
ACL,"Shaily Desai, Rishabh Gupta, Manvi Goel, Anil Bandhakavi, Md Shad Akhtar, Tanmoy Chakraborty",Counterspeeches up my sleeve! Intent Distribution Learning and Persistent Fusion for Intent-Conditioned Counterspeech Generation,2023,Conference,,,,
IEEE TCSS,"Mohit Bhardwaj, Megha Sundriyal, Manjot Bedi, Md Shad Akhtar, Tanmoy Chakraborty",HostileNet: Multi-Label Hostile Post Detection in Hindi,2023,Transaction,,,,
WWW,"Aseem Srivastava, Ishan Pandey, Md Shad Akhtar, Tanmoy Chakraborty",Response-act Guided Reinforced Dialogue Generation for Mental Health Counseling,2023,Conference,,,,
EACL,"Shivam Sharma, Atharva Kulkarni, Tharun Suresh, Himanshi Mathur, Preslav Nakov, Md. Shad Akhtar, Tanmoy Chakraborty.","Characterizing the Entities in Harmful Memes: Who is the Hero, the Villain, the Victim?",2023,Conference,,,,
